,Converted Cost,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,ZIP
31,0.7899908918916428,1.0810375175484128,-0.4981232455277914,-0.9454442240169754,-0.26255930136285077,0.6379076811981147,95403.0
32,0.5841530572231649,-0.6324851061716762,-0.04431770615023065,0.7701580865032773,-0.41144187774146246,-1.0570627661942895,92801.0
33,0.5841530572231649,-1.3039729741915613,-0.12197522370697296,0.7701580865032773,-0.5007714235686295,1.7678879794597195,91733.0
34,0.5841530572231649,-0.6324851061716762,-0.049673397016212886,0.7701580865032773,-0.3518888471900178,0.07291753206731226,92806.0
35,-1.2484676643413457,-0.6324851061716762,0.12443118688542604,0.7701580865032773,-0.4412183930171848,0.9204027557635159,90621.0
36,-1.3281468261484983,-0.5800654308015334,0.31147869037985537,0.7701580865032773,2.2982210123492703,1.7678879794597195,90802.0
37,-0.0001607960292877218,-1.3039729741915613,-0.278272135479221,0.7701580865032773,-0.3518888471900178,1.7678879794597195,91740.0
38,0.07951836577786499,-1.3039729741915613,1.5889002234310499,0.7701580865032773,5.7225202690573385,-1.0570627661942895,92618.0
39,0.7899908918916428,1.0810375175484128,-0.7446189176346235,-0.38764913398405343,-0.3816653624657401,0.32716309917617337,93210.0
40,-1.6601433336783011,0.5957622201085779,0.1966883828189696,0.4797078905818144,0.03520585139437258,1.3441453676116177,94005.0
41,-1.6601433336783011,0.742463912531852,3.127679470742177,1.2494481440850342,0.09475888194581725,0.4966601439154141,94043.0
42,-1.6601433336783011,0.742463912531852,3.127679470742177,1.2494481440850342,0.09475888194581725,0.4966601439154141,94043.0
43,-1.6601433336783011,0.742463912531852,3.127679470742177,1.2494481440850342,0.09475888194581725,0.4966601439154141,94043.0
44,-1.4941450799133997,1.0810375175484128,0.07319507760086273,1.2494481440850342,-0.1136767249842391,1.202897830328917,95060.0
45,-1.394546127654459,-1.314655737817675,-0.4823239574731439,0.7701580865032773,-0.47099490829290713,0.07291753206731226,92880.0
46,-0.9961503186186957,1.0810375175484128,-0.05261902699250311,0.4797078905818144,0.005429336118650242,2.332878128590522,94544.0
47,-1.3281468261484983,1.0810375175484128,-0.08752027913582063,0.4797078905818144,-0.054123694432794425,0.07291753206731226,94596.0
48,-1.394546127654459,-1.314655737817675,-0.40948656169578557,0.7701580865032773,-0.32211233191429545,0.07291753206731226,92882.0
49,1.9121390873423756,1.0810375175484128,0.019772061212690005,0.4797078905818144,-0.41144187774146246,0.07291753206731226,94526.0
50,-1.9921398412081037,-1.3039729741915613,-0.13683726586007364,0.7701580865032773,-0.47099490829290713,2.050383054025121,90670.0
51,1.5602227893607845,-1.3039729741915613,0.9463512117848321,0.7701580865032773,0.3329710041515959,1.7678879794597195,90505.0
52,1.5602227893607845,-1.3039729741915613,0.5514582719330757,0.7701580865032773,-0.3518888471900178,1.7678879794597195,90504.0
