,Converted Cost,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,Density,Population,Num EVs,ZIP
66,0.07432251140327341,0.3040967816785703,0.017702926309585875,0.018024551503430616,0.0,0.220467032967033,0.03062176173531858,0.30955888176130514,0.021718047062373416,55430.0
67,0.013952240407834719,0.016441463855166677,0.002584037899222522,0.01406661226554755,0.011904761904761904,0.7692307692307693,0.038286192239359876,0.3245584857844302,0.02757452842585704,13820.0
68,0.07432251140327341,0.008768076012059057,0.16891447741233537,0.0017528904999257692,0.03571428571428571,0.2774725274725275,0.4906477388000838,0.35553971648055754,0.34325581721925985,98008.0
69,0.034075664072980946,1.0,0.004499399324523427,0.004753926317579569,0.03571428571428571,0.16483516483516483,0.06658846028613614,0.24083313534489587,0.034770292935218765,5641.0
70,0.23691977461765493,0.12995223749567972,0.03134845977741007,0.6993457469967524,0.011904761904761904,0.18200549450549453,0.19026638728971865,0.5765898471529263,0.2128143167583456,8844.0
71,0.0474912798497451,0.008768076012059057,0.07084570573701747,0.01275356822204146,0.11904761904761904,0.2774725274725275,0.23875875881266787,0.29044111823869484,0.14033696493578632,98166.0
72,0.12798497451033,0.0,0.030498447310560554,0.14710111608595275,0.03571428571428571,0.0,0.031213602277503204,0.4251049338718619,0.029707799957625382,97071.0
73,0.10651998926750737,0.0,0.25628442550490743,0.016050382148844772,0.09523809523809523,0.0,0.32844284906641297,0.15059792508117525,0.10830968734551,97232.0
74,0.07700563455862623,0.11260600110680258,0.03914590747330961,0.27927663183519735,0.011904761904761904,0.18200549450549453,0.16161182855739742,0.249592143818801,0.08367335112730716,7834.0
75,0.10115374295680171,0.0,0.21291112269646623,0.016050382148844772,0.023809523809523808,0.0,0.4512740499587421,0.1413320662073335,0.1406994414659769,97210.0
76,0.15481620606385832,0.06771571659680066,0.09369404084593241,0.0017528904999257692,0.17857142857142858,0.28846153846153844,0.266228666441771,0.4315831155460521,0.2248811133626787,98011.0
77,0.215186477059297,0.31689335356040604,0.08681460661423034,0.07413291572191968,0.0,0.18200549450549453,0.05836571875854591,0.2628177714421478,0.033286120929385786,8204.0
78,0.09344781325462838,0.6801487176827907,0.07943649840197656,0.011504917179337297,0.21428571428571427,0.19230769230769232,0.1793868468962438,0.4153163855230855,0.1475288376114671,5401.0
79,0.08934800107324925,0.7252178447597702,0.011061495568601672,0.011504917179337297,0.11904761904761904,0.16483516483516483,0.1936673502186572,0.03722182624534727,0.023978898848826584,5672.0
80,0.1592433592701905,0.26475696352579187,0.11126096516082236,0.010494835507124408,0.5595238095238095,0.9837912087912087,0.10209868115265061,0.467712045616536,0.09584646913674282,80204.0
81,0.07432251140327341,0.3223970503173084,0.021000974680961987,0.04118860445063861,0.023809523809523808,0.9945054945054945,0.12570947691602757,0.0,0.006905817734130004,80447.0
82,0.07432251140327341,0.3040967816785703,0.046195344198381574,0.018024551503430616,0.09523809523809523,0.21634615384615385,0.1551601378838509,0.2572740951928407,0.08264240606783647,55102.0
83,0.07432251140327341,0.7252178447597702,0.02052496769952626,0.011504917179337297,0.011904761904761904,0.19230769230769232,0.1453651046549367,0.28108022491486495,0.08402215140095645,5452.0
84,0.1797692514086396,0.14729847388455677,1.0,0.27927663183519735,0.16666666666666666,0.18200549450549453,0.18156284355851704,0.5446741110319158,0.192640818975988,7302.0
85,0.07432251140327341,0.10155763669234161,0.25954847337760956,0.0017528904999257692,0.08333333333333333,0.2774725274725275,0.8632836357842938,0.3284232200839471,0.5590932420077102,98040.0
86,0.08934800107324925,0.7252178447597702,0.011061495568601672,0.011504917179337297,0.11904761904761904,0.16483516483516483,0.1936673502186572,0.03722182624534727,0.023978898848826584,5672.0
87,0.046954655218674535,0.31450606142789456,0.027245732937416417,0.018024551503430616,0.0,0.2026098901098901,0.12013355722705044,0.3375782054328027,0.08264240606783647,55449.0
88,0.24255433324389586,0.3051828156445249,0.008590792664959086,0.10665467203146257,0.03571428571428571,0.9656593406593407,0.019814669952637403,0.08963332541379583,0.005094148536202639,81211.0
89,0.06198014488865038,0.7252178447597702,0.011061495568601672,0.011504917179337297,0.11904761904761904,0.16483516483516483,0.1936673502186572,0.03722182624534727,0.023978898848826584,5672.0
90,0.07432251140327341,0.008768076012059057,0.03922524197021556,0.03559938338842333,0.0,0.23626373626373626,0.1530859273070151,0.03437079274570365,0.018202252384288516,98257.0
91,0.12798497451033,0.30811900384492885,0.0720243896910488,0.010494835507124408,0.14285714285714285,0.9850274725274725,0.39350718588358147,0.3866951770016631,0.2982616868622286,80026.0
92,0.12141132277971556,0.3508069224913138,0.09239068839676315,0.0,0.09523809523809523,0.9725274725274725,0.09644771393139942,0.23411736754573534,0.04808464543721641,80487.0
93,0.05822377247115643,0.04013600117461853,0.022383661627037196,0.00546340512153682,0.011904761904761904,0.16483516483516483,0.07070815161894378,0.2790528233151184,0.04200344116808676,48098.0
94,0.15481620606385832,0.10155763669234161,0.2935489720515901,0.0017528904999257692,1.0,0.2802197802197802,0.7794189886160202,0.41153084659855865,0.6219433360681073,98004.0
95,0.0034880601019586788,0.013195662727575051,0.006052088763968538,0.0024086081191253368,0.0,0.0,0.0016838294497794658,0.0003009424249623822,0.0,97836.0
96,0.034075664072980946,0.008768076012059057,0.0793684974046286,0.01275356822204146,0.21428571428571427,0.2774725274725275,0.25600849134865694,0.13699215965787598,0.0783619072747471,98057.0
97,0.034075664072980946,0.008768076012059057,0.0793684974046286,0.01275356822204146,0.21428571428571427,0.2774725274725275,0.25600849134865694,0.13699215965787598,0.0783619072747471,98057.0
98,0.034075664072980946,0.008768076012059057,0.0793684974046286,0.01275356822204146,0.21428571428571427,0.2774725274725275,0.25600849134865694,0.13699215965787598,0.0783619072747471,98057.0
99,0.034075664072980946,0.008768076012059057,0.0793684974046286,0.01275356822204146,0.21428571428571427,0.2774725274725275,0.25600849134865694,0.13699215965787598,0.0783619072747471,98057.0
100,0.0005366246310705658,0.3341502374804406,0.10886959675408572,0.010494835507124408,0.5714285714285714,0.9850274725274725,0.4874533581712172,0.3261423932842322,0.3150824526046153,80301.0
101,0.0005366246310705658,0.3341502374804406,0.10886959675408572,0.010494835507124408,0.5714285714285714,0.9850274725274725,0.4874533581712172,0.3261423932842322,0.3150824526046153,80301.0
102,0.0,0.2871367580529067,0.31618197066890313,0.0017528904999257692,0.011904761904761904,0.2815934065934066,0.35732415612276547,0.3946622317256672,0.27636649100069033,98144.0
103,0.0,0.2871367580529067,0.31618197066890313,0.0017528904999257692,0.011904761904761904,0.2815934065934066,0.35732415612276547,0.3946622317256672,0.27636649100069033,98144.0
104,0.1532063321706466,0.3040967816785703,0.09199401591223338,0.018024551503430616,0.07142857142857142,0.220467032967033,0.21452574489413634,0.4286528866714184,0.1808819468139791,55416.0
105,0.11376442178695999,0.3040967816785703,0.019640954734002767,0.018024551503430616,0.2261904761904762,0.21634615384615385,0.0354567384430699,0.5860774530767403,0.04502575590771075,55119.0
106,0.11376442178695999,0.3040967816785703,0.019640954734002767,0.018024551503430616,0.2261904761904762,0.21634615384615385,0.0354567384430699,0.5860774530767403,0.04502575590771075,55119.0
107,0.05822377247115642,0.3341502374804406,0.12521250311671236,0.010494835507124408,0.4642857142857143,0.9847527472527473,0.35714129208508816,0.3956125762255484,0.2768445282253412,80302.0
108,0.05822377247115642,0.3341502374804406,0.12521250311671236,0.010494835507124408,0.4642857142857143,0.9847527472527473,0.35714129208508816,0.3956125762255484,0.2768445282253412,80302.0
109,0.07432251140327341,0.008768076012059057,0.04756669764489879,0.01275356822204146,0.16666666666666666,0.2774725274725275,0.0975095527857007,0.3349489189831314,0.06721812719057944,98188.0
110,0.07432251140327341,0.008768076012059057,0.054491465874832834,0.01275356822204146,0.011904761904761904,0.2774725274725275,0.08798362387204996,0.5166706264354162,0.09144677185979111,98198.0
111,0.15481620606385832,0.21956488720809336,0.20639436045061993,0.0993826286661348,0.23809523809523808,0.22664835164835168,0.32887719229980295,0.6359863783955017,0.3992570209967451,78704.0
112,0.10651998926750737,0.0,0.25628442550490743,0.016050382148844772,0.09523809523809523,0.0,0.32844284906641297,0.15059792508117525,0.10830968734551,97232.0
113,0.15481620606385832,0.18431007941010444,0.034907178638620036,0.0993826286661348,0.047619047619047616,0.22664835164835168,1.0,0.16108339272986458,0.34573557942351035,78738.0
114,0.12798497451033,0.06229533915209522,0.02783507491443208,0.14710111608595275,0.20238095238095238,0.0,0.04598813669132148,0.816567672447929,0.07798297488876713,97301.0
115,0.10115374295680171,0.189348911916941,0.006630097241426208,0.02116126080720309,0.16666666666666666,0.16483516483516483,0.01257661906048828,0.4041656767244793,0.013796898991787751,49464.0
116,0.15481620606385832,0.2871367580529067,0.4159507672779201,0.0017528904999257692,0.10714285714285714,0.2815934065934066,0.26763767907065145,0.664607586916924,0.34010109288552987,98105.0
117,0.23530990072444322,0.42884061946218704,0.0886393000430673,0.16542021924802297,0.0,0.17445054945054947,0.011507707611443999,0.42980913914627383,0.01375167067335001,6854.0
118,0.0474912798497451,0.008768076012059057,0.07084570573701747,0.01275356822204146,0.11904761904761904,0.2774725274725275,0.23875875881266787,0.29044111823869484,0.14033696493578632,98166.0
119,0.23530990072444322,0.008768076012059057,0.057914182741346874,0.01275356822204146,0.07142857142857142,0.2774725274725275,0.4470686400215655,0.38294131622713234,0.3352959743020034,98027.0
120,0.10115374295680171,0.3040967816785703,0.019640954734002767,0.018024551503430616,0.2261904761904762,0.21634615384615385,0.0354567384430699,0.5860774530767403,0.04502575590771075,55119.0
121,0.05419908773812718,0.008768076012059057,0.07089103973524945,0.0009782057658479623,0.07142857142857142,0.24175824175824176,0.17254341657069508,0.7002138275124733,0.23297836478329412,98225.0
122,0.034075664072980946,0.04013600117461853,0.04026792392955097,0.3049139229916266,0.023809523809523808,0.16483516483516483,0.10783671206779943,0.8092658588738417,0.1703934020683083,48103.0
123,0.10115374295680171,0.3040967816785703,0.019640954734002767,0.018024551503430616,0.2261904761904762,0.21634615384615385,0.0354567384430699,0.5860774530767403,0.04502575590771075,55119.0
124,0.10115374295680171,0.3040967816785703,0.019640954734002767,0.018024551503430616,0.2261904761904762,0.21634615384615385,0.0354567384430699,0.5860774530767403,0.04502575590771075,55119.0
125,0.07432251140327341,0.3341502374804406,0.10886959675408572,0.010494835507124408,0.5714285714285714,0.9850274725274725,0.4874533581712172,0.3261423932842322,0.3150824526046153,80301.0
126,0.046954655218674535,0.3341502374804406,0.10886959675408572,0.010494835507124408,0.5714285714285714,0.9850274725274725,0.4874533581712172,0.3261423932842322,0.3150824526046153,80301.0
127,0.06090689562650925,0.30811900384492885,0.0947593898043838,0.010494835507124408,0.15476190476190477,0.9847527472527473,0.4297155118578948,0.3230696127346163,0.275745095537195,80303.0
128,0.15481620606385832,0.21956488720809336,0.08744928258947798,0.0993826286661348,0.30952380952380953,0.22664835164835168,0.5613805213640882,0.3954066682505742,0.4327212805984497,78746.0
129,0.3158035953850281,0.06229533915209522,0.02783507491443208,0.14710111608595275,0.20238095238095238,0.0,0.04598813669132148,0.816567672447929,0.07798297488876713,97301.0
130,0.11456935873356584,0.26475696352579187,0.06681097989437178,0.010494835507124408,0.08333333333333333,0.9837912087912087,0.14155394173786984,0.2471687653441039,0.07295102552391852,80237.0
131,0.09344781325462838,0.6801487176827907,0.03991658544325317,0.011504917179337297,0.011904761904761904,0.19230769230769232,0.16185038641135724,0.12908846123386394,0.04764395052605647,5408.0
132,0.046954655218674535,0.33347809011816026,0.005270077294466985,0.018024551503430616,0.0,0.21634615384615385,0.015547594650311001,0.1679575512790053,0.007145079759262226,55040.0
133,0.07432251140327341,0.10155763669234161,0.25954847337760956,0.0017528904999257692,0.08333333333333333,0.2774725274725275,0.8632836357842938,0.3284232200839471,0.5590932420077102,98040.0
134,0.12664341293265358,0.1590621683743027,0.013622866468708208,0.007621794780014967,0.0,0.22802197802197804,0.07276058063176102,0.020258176922467726,0.006800778071414226,98631.0
135,0.12664341293265358,0.3514810441640659,0.014234875444839857,0.010494835507124408,0.0,0.9519230769230769,0.04104486593419301,0.16021224360497346,0.015587480029148367,80621.0
136,0.11456935873356584,0.14729847388455677,0.03542851961828773,0.6993457469967524,0.023809523809523808,0.18200549450549453,0.07804309896984704,0.3288033578838996,0.053535032860694776,8619.0
137,0.040783471961363026,0.10155763669234161,0.2935489720515901,0.0017528904999257692,1.0,0.2802197802197802,0.7794189886160202,0.41153084659855865,0.6219433360681073,98004.0
138,0.07432251140327341,0.10155763669234161,0.2935489720515901,0.0017528904999257692,1.0,0.2802197802197802,0.7794189886160202,0.41153084659855865,0.6219433360681073,98004.0
139,0.08934800107324925,0.7252178447597702,0.011061495568601672,0.011504917179337297,0.11904761904761904,0.16483516483516483,0.1936673502186572,0.03722182624534727,0.023978898848826584,5672.0
140,0.07432251140327341,0.0,0.09664075073101072,0.14710111608595275,0.011904761904761904,0.0,0.3456574147332426,0.3476360180565455,0.2378826684640745,97035.0
141,0.15481620606385832,0.3911878429088633,0.0690663463064125,0.05008623672122334,0.05952380952380952,0.15109890109890112,0.019841153735101272,0.5296903460837887,0.025190828493459095,53211.0
142,0.15481620606385832,0.3911878429088633,0.0690663463064125,0.05008623672122334,0.05952380952380952,0.15109890109890112,0.019841153735101272,0.5296903460837887,0.025190828493459095,53211.0
143,0.034075664072980946,0.008768076012059057,0.0793684974046286,0.01275356822204146,0.21428571428571427,0.2774725274725275,0.25600849134865694,0.13699215965787598,0.0783619072747471,98057.0
