,Converted Cost,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,ZIP
0,0.41043083900226757,0.004459153358713882,0.5287600797084241,0.43276180966436545,0.01775147928994083,0.14285714285714296,92620.0
1,0.41043083900226757,0.004459153358713882,0.780017139376168,0.43276180966436545,0.1301775147928994,0.14285714285714296,92660.0
2,0.41043083900226757,0.004459153358713882,0.780017139376168,0.43276180966436545,0.1301775147928994,0.14285714285714296,92660.0
3,0.1836734693877551,0.34276597581527096,0.031604596656789156,0.014052972654104113,0.005917159763313609,0.14285714285714296,92313.0
4,0.4965986394557823,0.004459153358713882,0.6319060844785397,0.43276180966436545,0.008875739644970414,0.4285714285714281,90740.0
5,0.5317460317460317,0.7576124788811242,0.005905857330180789,0.0006478750753064611,0.0029585798816568047,0.0,96051.0
6,0.42517006802721086,0.818322125152727,0.04286909027082279,0.09735183038407196,0.038461538461538464,0.28571428571428514,92021.0
7,0.42517006802721086,0.818322125152727,0.12886539394752872,0.09735183038407196,0.07100591715976332,0.28571428571428514,92054.0
8,0.11337868480725623,0.1437511282832585,0.033339184124394704,0.43276180966436545,0.0029585798816568047,0.4285714285714281,92860.0
9,0.32653061224489793,0.004459153358713882,0.034196152932795064,0.014052972654104113,0.10355029585798817,0.4285714285714281,92346.0
10,0.32653061224489793,0.004459153358713882,0.034196152932795064,0.014052972654104113,0.10355029585798817,0.4285714285714281,92346.0
11,0.1836734693877551,0.2847487382276559,0.22259506675064272,0.43276180966436545,0.13313609467455623,0.5714285714285711,92868.0
12,0.1836734693877551,0.004459153358713882,0.1883472891908356,0.43276180966436545,0.03550295857988166,0.5714285714285711,92701.0
13,0.4965986394557823,0.004459153358713882,0.16975209854108805,0.43276180966436545,0.014792899408284023,0.857142857142857,90640.0
14,0.4965986394557823,0.004459153358713882,0.08238257978586104,0.43276180966436545,0.0,0.857142857142857,91768.0
15,0.32653061224489793,0.004459153358713882,0.11486479510185539,0.43276180966436545,0.03254437869822485,0.14285714285714296,91730.0
16,0.1836734693877551,0.004459153358713882,0.18252403126387412,0.43276180966436545,0.011834319526627219,0.5714285714285711,92703.0
17,0.25510204081632654,0.004459153358713882,0.00866261241262532,0.014052972654104113,0.01775147928994083,0.4285714285714281,92392.0
18,0.25510204081632654,0.004459153358713882,0.6386792355425233,0.43276180966436545,0.047337278106508875,0.14285714285714296,92648.0
19,0.25510204081632654,0.03459429415583347,0.07916120306030788,0.000586213291328445,0.0,0.4285714285714281,92253.0
20,0.25510204081632654,0.24255798271124,0.08677067308188699,0.014052972654104113,0.08284023668639054,0.5714285714285711,92262.0
21,0.32653061224489793,0.818322125152727,0.491270275572259,0.09735183038407196,0.2455621301775148,0.14285714285714296,92037.0
22,0.25510204081632654,0.004459153358713882,0.1841347196266507,0.43276180966436545,0.008875739644970414,0.857142857142857,90242.0
23,0.25510204081632654,0.2699274141849012,0.13148792499974188,0.43276180966436545,0.01775147928994083,0.857142857142857,91702.0
24,0.41043083900226757,0.004459153358713882,1.0,0.43276180966436545,0.023668639053254437,0.14285714285714296,92657.0
25,0.25510204081632654,0.004459153358713882,0.3018182193633651,0.43276180966436545,0.029585798816568046,0.4285714285714281,92647.0
26,0.25510204081632654,0.004459153358713882,0.17761969169772748,0.43276180966436545,0.011834319526627219,0.857142857142857,90805.0
27,0.25510204081632654,0.004459153358713882,0.14925712161729632,0.43276180966436545,0.04142011834319527,0.857142857142857,90706.0
