Fuel Type Code,Station Name,City,Street Address,State,ZIP,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Access Code,Facility Type,L1 $/Hr,L1 flat,L1 $/kWh,L2 $/hr,L2 flat,L2 $/kWh,DCFC $/Hr,DCFC flat,DCFC $/kWh,,
ELEC,MGE MID LIB GP,Middleton,7428 Terrace Ave,WI,53562,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2,,,,,,0,2
ELEC,CITY OF HOLLAND 127 E 8TH,Holland,127 E 8th St,MI,49423,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,0.5,,,,,,0,0.5
ELEC,SHERWOOD CANNERY #1,Sherwood,NW Washington St,OR,97140,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,SHERWOOD CANNERY #2,Sherwood,15665 SW Willamette St,OR,97140,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,SHEALY-COLUMBIA COUNTER SALES,West Columbia,120 Saxe Gotha Rd,SC,29172,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,OUC CAY COMMONS 01,Orlando,4102 Breakview Dr,FL,32819,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,OUC DOMINOS UNIT 01,Orlando,5944 S Orange Blossom Trail,FL,32809,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,OUC VISTA CAY 01,Orlando,5012 Shoreway Loop,FL,32819,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,OUC WINGATE 1,Orlando,5661 Windhover Dr,FL,32819,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,CHARLES COUNTY INDIAN HEAD1,Indian Head,3225 Ruth B Swann Dr,MD,20640,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,CHARLES COUNTY CRAIN CENTER1,Newburg,12480 Crain Hwy,MD,20664,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,NV ENERGY NV ENERGY 03,Las Vegas,6226 W Sahara Ave,NV,89146,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,PIE AE ANIMAL SERVICE2,Austin,7201 Levander Loop,TX,78702,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2,,,,,,0,2
ELEC,PIE AE PUBDITTMAR2,Austin,1009 W Dittmar Rd,TX,78745,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2,,,,,,0,2
ELEC,PIE AE MILWOOD LIB 2,Austin,12500 Amherst Dr,TX,78727,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2,,,,,,0,2
ELEC,PIE AE PUB-STDAVIDSST1,Austin,710 Trinity St,TX,78701,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2,,,,,,0,2
ELEC,MGE FITCHBURG CC,Fitchburg,5530 Lacy Rd,WI,53711,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2,,,,,,0,2
ELEC,MGE LAKE ST ADA,Madison,415 N Lake St,WI,53715,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2,,,,,,0,2
ELEC,MGE VILAS ZOO ADA,Madison,1339 Vilas Park Dr,WI,53715,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2,,,,,,0,2
ELEC,HIGHLANDCHEVRON HIGHLAND DUAL 1,Beaverton,14470 SW Allen Blvd,OR,97005,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,0.5,1.5,0.1,,,,0,2.1
ELEC,IBEWLOCAL26JATC MANASSAS 1,Manassas,7016 Infantry Ridge Rd,VA,20109,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,0.66,,,,,,0,0.66
ELEC,CITY OF SEATAC CITY HALL 1,SeaTac,4800 S 188th St,WA,98188,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,2,,,,,0,2
ELEC,LEE COUNTY GOV ADMIN EAST,Fort Myers,2201 2nd St,FL,33901,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,0.1,0.5,,,,,0,0.6
ELEC,OUC SHERATON UNIT 1,Orlando,5905 International Drive,FL,32819,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,OUC OUC GARDENIA 01,Orlando,3800 Gardenia Ave,FL,32839,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,CITY OF TAMPA TWIGGS GARAGE 1,Tampa,901 E Twiggs St,FL,33602,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,PALMER SQUARE CHAMBERS GARAGE,Princeton,25 Chambers St,NJ,8542,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2,,,,,,0,2
ELEC,CITY BRADENTON RIVERWALK,Bradenton,808 3rd Ave W,FL,34205,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,1.5,,,,,,0,1.5
ELEC,OUC OUC PERSHING 01,Orlando,5971 Pershing Ave,FL,32822,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,OUC OC FAMILY SERV,Orlando,1718 E Michigan Street,FL,32806,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,DON CESAR HOTEL EV CHARGER 01,Saint Pete Beach,3400 Gulf Blvd,FL,33706,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,0.79,,,,,,0,0.79
ELEC,HARVARD PILGRIM HPHCQ2,Quincy,1600 Crown Colony Dr,MA,2169,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,GVSU CAMPUS SEWARD RAMP 1,Grand Rapids,401 Fulton Street West,MI,49504,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,NEMC GREEN HCOC III,Novi,28100 Cabot Dr,MI,48377,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,BELLEVUE SBCC #2,Bellevue,14509 SE Newport Way,WA,98006,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,SAMMAMISH GARAGE 1,Sammamish,801 228th Ave SE,WA,98075,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,1,,,,,,0,1
ELEC,CITY BRADENTON JUDICIALGARAGE2,Bradenton,615 12th St W,FL,34205,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,1.5,,,,,,0,1.5
ELEC,GATEWAY TECH ELKHORN 1,Elkhorn,400 County Road H,WI,53121,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,OUC INFUSION TEA 01,Orlando,1600 Edgewater Dr,FL,32804,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,CITY OF GR PARK GOV CENTER RAMP,Grand Rapids,300 Monroe Ave NW,MI,49503,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,CITY OF GR PARK OTTAWA FULTON 1,Grand Rapids,50 Ottawa Ave NW,MI,49503,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,CITY OF GR PARK GALLERY PLACE,Grand Rapids,10 Commerce Ave SW,MI,49503,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,WHOLE FOODS MKT OKCWESTERN 2,Oklahoma City,6001 N Western Ave,OK,73118,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,NATIONAL GRID CHILIS LEOMNSTR,Leominster,42 Orchard Hill Park Dr,MA,1453,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,NATIONAL GRID CHILIS WESTFORD,Westford,137 Littleton Rd,MA,1886,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,NATIONAL GRID UNION STATION 1,Worcester,225 Franklin St,MA,1604,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,UM PTS GRAND,Baltimore,5 N Paca St,MD,21201,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,UM PTS PEARL #3,Baltimore,622 W Fayette St,MD,21201,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
