,ZIP,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,Converted Cost
71,20815.0,0.07807521249999999,3156600.0,114.3900277,3.0,0.06,2.6
72,20817.0,0.07807521249999999,1737600.0,114.3900277,3.0,0.06,4.949999999999999
73,20850.0,0.07807521249999999,1384400.0,114.3900277,20.0,0.06,3.0749999999999997
74,20877.0,0.07807521249999999,630000.0,114.3900277,2.0,0.06,2.6
75,20878.0,0.07807521249999999,1050300.0,114.3900277,6.0,0.06,2.6
76,20879.0,0.07807521249999999,727900.0,114.3900277,3.0,0.06,10.0
77,20902.0,0.07807521249999999,1001000.0,114.3900277,7.0,0.06,2.6
78,20910.0,0.07807521249999999,1695700.0,114.3900277,9.0,0.06,2.6
79,21029.0,0.07318157,489700.0,114.3900277,5.0,0.06,4.0
80,21044.0,0.07318157,543700.0,114.3900277,31.0,0.06,4.0
81,21045.0,0.07318157,662800.0,114.3900277,7.0,0.06,4.0
82,21061.0,0.07318157,456600.0,114.3900277,1.0,0.06,2.9699999999999998
83,21078.0,0.08167623,233600.0,131.6739115,1.0,0.06,6.0
84,21202.0,0.07318157,1422900.0,114.3900277,23.0,0.06,3.0
85,21212.0,0.07318157,684600.0,114.3900277,1.0,0.06,8.22
86,21213.0,0.07318157,435100.0,114.3900277,1.0,0.06,8.22
87,21215.0,0.07318157,286200.0,114.3900277,1.0,0.06,7.92
88,21224.0,0.07318157,2220100.0,114.3900277,6.0,0.06,7.92
89,21236.0,0.07318157,514100.0,132.9584854,9.0,0.06,7.92
90,21237.0,0.07318157,332100.0,132.9584854,2.0,0.06,7.92
91,21244.0,0.07318157,272000.0,114.3900277,2.0,0.06,7.92
92,21740.0,0.07505034433333334,134300.0,13.36999514,6.0,0.06,8.805
93,22102.0,0.0421541755,940100.0,114.3900277,21.0,0.06,2.175
94,22182.0,0.0421541755,912300.0,114.3900277,6.0,0.06,3.0
95,22201.0,0.0421541755,3969600.0,114.3900277,8.0,0.06,4.35
96,22202.0,0.0421541755,2779900.0,114.3900277,21.0,0.06,3.125
97,22206.0,0.0421541755,4419200.0,114.3900277,1.0,0.06,3.0
98,22314.0,0.0421541755,7809800.0,114.3900277,4.0,0.06,3.75
99,22801.0,0.06795536675,161500.0,15.1839732,2.0,0.053,9.0
100,23220.0,0.0421541755,927600.0,47.60426336,6.0,0.06,1.5
101,24501.0,0.0467721515,63600.0,5.263081584,1.0,0.053,9.0
102,27278.0,0.10902480149999999,74200.0,12.29286041,1.0,0.075,2.9699999999999998
103,27514.0,0.10902480149999999,214900.0,12.29286041,7.0,0.075,2.25
104,27701.0,0.07690351,324600.0,12.29286041,21.0,0.075,3.0
105,27705.0,0.10902480149999999,169600.0,12.29286041,3.0,0.075,2.25
106,28027.0,0.088901474,96200.0,64.998739,11.0,0.07,4.68
107,28146.0,0.09046546033333334,39100.0,28.10345702,1.0,0.07,6.36
108,28202.0,0.07690351,476700.0,64.998739,28.0,0.0725,2.7
109,28205.0,0.07690351,370200.0,64.998739,1.0,0.0725,3.0
110,28211.0,0.07690351,514200.0,64.998739,3.0,0.0725,3.0
111,28277.0,0.08672706399999999,273600.0,64.998739,4.0,0.0725,1.98
112,28462.0,0.1013254485,180300.0,14.54249919,1.0,0.0675,2.7750000000000004
113,28467.0,0.1013254485,111800.0,8.405724161,1.0,0.0675,2.7750000000000004
