,ZIP,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,EV density
72,765.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
73,766.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
74,767.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
75,769.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
76,771.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
77,772.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
78,773.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
79,775.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
80,777.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
81,778.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
82,780.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
83,782.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
84,783.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
85,784.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
86,786.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
87,791.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
88,794.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
89,795.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
90,801.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
91,802.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
92,820.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
93,823.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
94,824.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
95,830.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
96,831.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
97,840.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
98,841.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
99,850.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
100,851.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
101,901.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
102,906.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
103,907.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,inf
104,909.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
105,911.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
106,912.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
107,913.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
108,915.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
109,917.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
110,918.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
111,920.0,0.09204539149999999,184200.0,32.93921337,1.0,0.0,0.0
112,921.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
113,923.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
114,924.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
115,925.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
116,926.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
117,927.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
118,934.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
119,936.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
120,949.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
121,950.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
122,951.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
123,952.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
124,953.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
125,956.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
126,957.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
127,959.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
128,960.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
129,961.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
130,962.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
131,965.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
132,966.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
133,968.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
134,969.0,0.09204539149999999,184200.0,32.93921337,1.0,0.0,0.0
135,971.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
136,976.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
137,979.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
138,982.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
139,983.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
140,985.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
141,987.0,0.09204539149999999,184200.0,32.93921337,0.0,0.0,0.0
142,1001.0,0.09204539149999999,184200.0,32.93921337,7.0,0.0625,0.007373345
143,1002.0,0.09204539149999999,194100.0,210.4025618,15.0,0.0625,0.007373345
144,1003.0,0.09204539149999999,117350.0,32.93921337,16.0,0.0625,0.007373345
145,1005.0,0.09204539149999999,40600.0,210.4025618,1.0,0.0625,0.007373345
146,1007.0,0.09204539149999999,73500.0,210.4025618,0.0,0.0625,0.007373345
147,1008.0,0.09204539149999999,68400.0,32.93921337,0.0,0.0625,0.007373345
148,1009.0,0.09204539149999999,68400.0,210.4025618,0.0,0.0625,0.007373345
149,1010.0,0.09204539149999999,63300.0,210.4025618,0.0,0.0625,0.007373345
150,1011.0,0.09204539149999999,141250.0,32.93921337,0.0,0.0625,0.007373345
151,1012.0,0.09204539149999999,141250.0,32.93921337,0.0,0.0625,0.007373345
152,1013.0,0.1282661125,219200.0,32.93921337,1.0,0.0625,0.007373345
153,1020.0,0.1282661125,196700.0,32.93921337,0.0,0.0625,0.007373345
154,1022.0,0.130602369,176900.0,32.93921337,0.0,0.0625,0.007373345
155,1026.0,0.09204539149999999,176900.0,32.93921337,0.0,0.0625,0.007373345
156,1027.0,0.103340213,157100.0,32.93921337,14.0,0.0625,0.007373345
157,1028.0,0.09204539149999999,151400.0,210.4025618,0.0,0.0625,0.007373345
158,1029.0,0.11395801300000001,164200.0,32.93921337,0.0,0.0625,0.007373345
159,1030.0,0.157783256,177000.0,32.93921337,0.0,0.0625,0.007373345
160,1031.0,0.09204539149999999,130300.0,210.4025618,0.0,0.0625,0.007373345
161,1032.0,0.09204539149999999,130300.0,32.93921337,0.0,0.0625,0.007373345
162,1033.0,0.10489771733333332,83600.0,32.93921337,0.0,0.0625,0.007373345
163,1034.0,0.09975678699999999,97200.0,32.93921337,0.0,0.0625,0.007373345
164,1035.0,0.09204539149999999,148800.0,32.93921337,6.0,0.0625,0.007373345
165,1036.0,0.09204539149999999,79700.0,210.4025618,0.0,0.0625,0.007373345
166,1037.0,0.09204539149999999,99950.0,210.4025618,0.0,0.0625,0.007373345
167,1038.0,0.09204539149999999,120200.0,32.93921337,0.0,0.0625,0.007373345
168,1039.0,0.09204539149999999,100600.0,32.93921337,0.0,0.0625,0.007373345
169,1040.0,0.13810516033333334,164500.0,32.93921337,7.0,0.0625,0.007373345
170,1050.0,0.103340213,58800.0,32.93921337,0.0,0.0625,0.007373345
171,1053.0,0.09204539149999999,154600.0,32.93921337,1.0,0.0625,0.007373345
172,1054.0,0.09204539149999999,57500.0,210.4025618,0.0,0.0625,0.007373345
173,1056.0,0.10489771733333332,141100.0,210.4025618,3.0,0.0625,0.007373345
174,1057.0,0.09204539149999999,66300.0,210.4025618,0.0,0.0625,0.007373345
175,1060.0,0.09204539149999999,463000.0,32.93921337,19.0,0.0625,0.007373345
176,1062.0,0.103340213,190900.0,32.93921337,2.0,0.0625,0.007373345
177,1063.0,0.09204539149999999,134700.0,32.93921337,0.0,0.0625,0.007373345
178,1066.0,0.09204539149999999,134700.0,32.93921337,0.0,0.0625,0.007373345
179,1068.0,0.09204539149999999,134700.0,210.4025618,0.0,0.0625,0.007373345
180,1069.0,0.09204539149999999,78500.0,210.4025618,2.0,0.0625,0.007373345
181,1070.0,0.09204539149999999,72200.0,7.446951751,0.0,0.0625,0.007373345
182,1071.0,0.157783256,65900.0,32.93921337,0.0,0.0625,0.007373345
183,1072.0,0.09204539149999999,69400.0,210.4025618,0.0,0.0625,0.007373345
184,1073.0,0.14185655600000002,99600.0,32.93921337,0.0,0.0625,0.007373345
185,1074.0,0.09204539149999999,123000.0,210.4025618,0.0,0.0625,0.007373345
186,1075.0,0.110155752,146400.0,32.93921337,1.0,0.0625,0.007373345
187,1077.0,0.157783256,107900.0,32.93921337,0.0,0.0625,0.007373345
188,1079.0,0.09204539149999999,118850.0,210.4025618,0.0,0.0625,0.007373345
189,1080.0,0.09204539149999999,129800.0,210.4025618,0.0,0.0625,0.007373345
190,1081.0,0.09204539149999999,77100.0,210.4025618,0.0,0.0625,0.007373345
191,1082.0,0.09204539149999999,61500.0,210.4025618,0.0,0.0625,0.007373345
192,1083.0,0.09204539149999999,52800.0,210.4025618,0.0,0.0625,0.007373345
193,1084.0,0.11695097375,98650.0,32.93921337,0.0,0.0625,0.007373345
194,1085.0,0.14185655600000002,144500.0,32.93921337,4.0,0.0625,0.007373345
195,1086.0,0.157783256,170150.0,32.93921337,0.0,0.0625,0.007373345
196,1088.0,0.09204539149999999,170150.0,32.93921337,0.0,0.0625,0.007373345
197,1089.0,0.13810516033333334,195800.0,32.93921337,8.0,0.0625,0.007373345
198,1092.0,0.09204539149999999,159300.0,210.4025618,0.0,0.0625,0.007373345
199,1093.0,0.09204539149999999,159300.0,32.93921337,0.0,0.0625,0.007373345
200,1094.0,0.09204539149999999,159300.0,210.4025618,0.0,0.0625,0.007373345
201,1095.0,0.09204539149999999,122800.0,210.4025618,0.0,0.0625,0.007373345
202,1096.0,0.09204539149999999,71800.0,32.93921337,0.0,0.0625,0.007373345
203,1097.0,0.10489771733333332,110500.0,32.93921337,0.0,0.0625,0.007373345
204,1098.0,0.10489771733333332,110500.0,32.93921337,0.0,0.0625,0.007373345
205,1103.0,0.10489771733333332,110500.0,32.93921337,6.0,0.0625,0.007373345
206,1104.0,0.130602369,149200.0,32.93921337,2.0,0.0625,0.007373345
207,1105.0,0.10489771733333332,237650.0,32.93921337,1.0,0.0625,0.007373345
208,1106.0,0.09204539149999999,326100.0,32.93921337,1.0,0.0625,0.007373345
209,1107.0,0.130602369,138700.0,32.93921337,8.0,0.0625,0.007373345
210,1108.0,0.09204539149999999,153800.0,32.93921337,2.0,0.0625,0.007373345
211,1109.0,0.09204539149999999,122400.0,32.93921337,5.0,0.0625,0.007373345
212,1118.0,0.09204539149999999,152600.0,32.93921337,0.0,0.0625,0.007373345
213,1119.0,0.09204539149999999,141700.0,32.93921337,0.0,0.0625,0.007373345
214,1128.0,0.09204539149999999,119400.0,210.4025618,0.0,0.0625,0.007373345
215,1129.0,0.09204539149999999,135600.0,210.4025618,2.0,0.0625,0.007373345
216,1151.0,0.10489771733333332,150500.0,32.93921337,0.0,0.0625,0.007373345
217,1199.0,0.09975678699999999,140600.0,32.93921337,6.0,0.0625,0.007373345
218,1201.0,0.09204539149999999,130700.0,32.93921337,4.0,0.0625,0.007373345
219,1220.0,0.09204539149999999,94800.0,7.446951751,0.0,0.0625,0.007373345
220,1222.0,0.09204539149999999,73450.0,32.93921337,0.0,0.0625,0.007373345
221,1223.0,0.09204539149999999,52100.0,32.93921337,2.0,0.0625,0.007373345
222,1224.0,0.09204539149999999,61050.0,7.446951751,0.0,0.0625,0.007373345
223,1225.0,0.09204539149999999,70000.0,7.446951751,0.0,0.0625,0.007373345
224,1226.0,0.09204539149999999,114800.0,32.93921337,1.0,0.0625,0.007373345
225,1229.0,0.09204539149999999,125100.0,32.93921337,0.0,0.0625,0.007373345
226,1230.0,0.09204539149999999,135400.0,32.93921337,4.0,0.0625,0.007373345
227,1235.0,0.09204539149999999,100400.0,32.93921337,0.0,0.0625,0.007373345
228,1236.0,0.09204539149999999,87250.0,32.93921337,1.0,0.0625,0.007373345
229,1237.0,0.09204539149999999,74100.0,7.446951751,0.0,0.0625,0.007373345
230,1238.0,0.09204539149999999,138700.0,32.93921337,1.0,0.0625,0.007373345
231,1240.0,0.09204539149999999,156600.0,32.93921337,2.0,0.0625,0.007373345
232,1242.0,0.09204539149999999,113450.0,32.93921337,0.0,0.0625,0.007373345
233,1243.0,0.09204539149999999,113450.0,32.93921337,0.0,0.0625,0.007373345
234,1244.0,0.09204539149999999,113450.0,32.93921337,0.0,0.0625,0.007373345
235,1245.0,0.09204539149999999,113450.0,32.93921337,0.0,0.0625,0.007373345
236,1247.0,0.09204539149999999,70300.0,7.446951751,5.0,0.0625,0.007373345
237,1253.0,0.09204539149999999,100800.0,32.93921337,0.0,0.0625,0.007373345
238,1254.0,0.09204539149999999,81450.0,32.93921337,0.0,0.0625,0.007373345
239,1255.0,0.09204539149999999,81450.0,32.93921337,0.0,0.0625,0.007373345
240,1256.0,0.09204539149999999,81450.0,7.446951751,0.0,0.0625,0.007373345
241,1257.0,0.09204539149999999,62100.0,32.93921337,0.0,0.0625,0.007373345
242,1258.0,0.09204539149999999,143150.0,32.93921337,0.0,0.0625,0.007373345
243,1259.0,0.09204539149999999,143150.0,32.93921337,0.0,0.0625,0.007373345
244,1260.0,0.09204539149999999,143150.0,32.93921337,0.0,0.0625,0.007373345
245,1262.0,0.09204539149999999,224200.0,32.93921337,3.0,0.0625,0.007373345
246,1264.0,0.09204539149999999,166850.0,32.93921337,0.0,0.0625,0.007373345
247,1266.0,0.09204539149999999,109500.0,32.93921337,0.0,0.0625,0.007373345
248,1267.0,0.09204539149999999,149500.0,7.446951751,19.0,0.0625,0.007373345
249,1270.0,0.09204539149999999,130800.0,7.446951751,0.0,0.0625,0.007373345
250,1301.0,0.09204539149999999,112100.0,7.446951751,9.0,0.0625,0.007373345
251,1330.0,0.09204539149999999,78850.0,7.446951751,0.0,0.0625,0.007373345
252,1331.0,0.09204539149999999,45600.0,14.17997244,2.0,0.0625,0.007373345
253,1337.0,0.09204539149999999,45300.0,7.446951751,0.0,0.0625,0.007373345
254,1338.0,0.09204539149999999,53150.0,7.446951751,0.0,0.0625,0.007373345
255,1339.0,0.09204539149999999,53150.0,7.446951751,1.0,0.0625,0.007373345
256,1340.0,0.09204539149999999,53150.0,7.446951751,0.0,0.0625,0.007373345
257,1341.0,0.09204539149999999,53150.0,32.93921337,0.0,0.0625,0.007373345
258,1342.0,0.09204539149999999,53150.0,7.446951751,0.0,0.0625,0.007373345
259,1343.0,0.09204539149999999,53150.0,7.446951751,0.0,0.0625,0.007373345
260,1344.0,0.09204539149999999,61000.0,14.17997244,4.0,0.0625,0.007373345
261,1346.0,0.09204539149999999,71100.0,7.446951751,0.0,0.0625,0.007373345
262,1347.0,0.09204539149999999,71100.0,7.446951751,0.0,0.0625,0.007373345
263,1349.0,0.09204539149999999,71100.0,14.17997244,0.0,0.0625,0.007373345
264,1350.0,0.09204539149999999,71100.0,7.446951751,0.0,0.0625,0.007373345
265,1351.0,0.09204539149999999,81200.0,7.446951751,0.0,0.0625,0.007373345
266,1354.0,0.09204539149999999,63850.0,7.446951751,1.0,0.0625,0.007373345
267,1355.0,0.09204539149999999,63850.0,210.4025618,0.0,0.0625,0.007373345
268,1360.0,0.09204539149999999,46500.0,14.17997244,1.0,0.0625,0.007373345
269,1364.0,0.09204539149999999,50100.0,14.17997244,2.0,0.0625,0.007373345
270,1366.0,0.09204539149999999,67650.0,210.4025618,0.0,0.0625,0.007373345
271,1367.0,0.09204539149999999,67650.0,7.446951751,0.0,0.0625,0.007373345
272,1368.0,0.09204539149999999,67650.0,14.17997244,0.0,0.0625,0.007373345
273,1370.0,0.09204539149999999,85200.0,7.446951751,2.0,0.0625,0.007373345
274,1373.0,0.09204539149999999,106800.0,32.93921337,4.0,0.0625,0.007373345
275,1375.0,0.09204539149999999,90800.0,32.93921337,0.0,0.0625,0.007373345
276,1376.0,0.09204539149999999,127500.0,7.446951751,5.0,0.0625,0.007373345
277,1378.0,0.09204539149999999,123150.0,14.17997244,0.0,0.0625,0.007373345
278,1379.0,0.09204539149999999,123150.0,14.17997244,0.0,0.0625,0.007373345
279,1420.0,0.12581297425000001,118800.0,14.17997244,3.0,0.0625,0.007373345
280,1430.0,0.12581297425000001,64100.0,14.17997244,0.0,0.0625,0.007373345
281,1431.0,0.159580557,36600.0,14.17997244,0.0,0.0625,0.007373345
282,1432.0,0.10652445866666667,219400.0,14.17997244,1.0,0.0625,0.007373345
283,1434.0,0.09204539149999999,132100.0,14.17997244,1.0,0.0625,0.007373345
284,1436.0,0.09204539149999999,44800.0,14.17997244,1.0,0.0625,0.007373345
285,1438.0,0.09204539149999999,65300.0,14.17997244,0.0,0.0625,0.007373345
286,1440.0,0.09204539149999999,85800.0,14.17997244,4.0,0.0625,0.007373345
287,1450.0,0.127746898,157600.0,14.17997244,2.0,0.0625,0.007373345
288,1451.0,0.1033450755,155500.0,14.17997244,1.0,0.0625,0.007373345
289,1452.0,0.09204539149999999,38100.0,210.4025618,0.0,0.0625,0.007373345
290,1453.0,0.14270510819999999,162100.0,14.17997244,7.0,0.0625,0.007373345
291,1460.0,0.11432460520000001,223900.0,20.54204472,4.0,0.0625,0.007373345
292,1462.0,0.12581297425000001,104300.0,14.17997244,0.0,0.0625,0.007373345
293,1463.0,0.12581297425000001,101000.0,14.17997244,0.0,0.0625,0.007373345
294,1464.0,0.12581297425000001,109500.0,14.17997244,0.0,0.0625,0.007373345
295,1467.0,0.09204539149999999,74250.0,210.4025618,0.0,0.0625,0.007373345
296,1468.0,0.09204539149999999,39000.0,14.17997244,1.0,0.0625,0.007373345
297,1469.0,0.12581297425000001,104000.0,14.17997244,0.0,0.0625,0.007373345
298,1473.0,0.12581297425000001,79500.0,14.17997244,0.0,0.0625,0.007373345
299,1474.0,0.159580557,72200.0,14.17997244,0.0,0.0625,0.007373345
300,1475.0,0.09204539149999999,52700.0,14.17997244,3.0,0.0625,0.007373345
301,1501.0,0.09204539149999999,157600.0,210.4025618,5.0,0.0625,0.007373345
302,1503.0,0.09263256966666666,116800.0,210.4025618,0.0,0.0625,0.007373345
303,1504.0,0.09204539149999999,151500.0,210.4025618,2.0,0.0625,0.007373345
304,1505.0,0.101249295,146800.0,210.4025618,0.0,0.0625,0.007373345
305,1506.0,0.09204539149999999,55900.0,210.4025618,0.0,0.0625,0.007373345
