,Converted Cost,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax
0,4.5,0.19526342149999998,238300.0,3.606238302,16.0,0.1975
1,2.4,0.083943921,1018100.0,1.539400712,21.0,0.065
2,6.0,0.113598355,963000.0,33.16743954,18.0,0.055
3,6.0,0.1110404765,331600.0,20.40103717,5.0,0.055
4,2.4,0.0905584675,75600.0,1.539400712,1.0,0.065
5,2.4,0.0905584675,631100.0,1.539400712,6.0,0.065
6,2.4,0.097173014,307700.0,15.66438974,21.0,0.065
7,2.4,0.0905584675,130600.0,1.539400712,4.0,0.065
8,2.4,0.0905584675,385900.0,1.539400712,3.0,0.065
9,3.0,0.063331162,559500.0,75.3360558,17.0,0.0
10,3.0,0.063331162,559500.0,75.3360558,17.0,0.0
11,2.0,0.0645309945,529500.0,6.710881471,7.0,0.101
12,6.0,0.1110404765,317800.0,20.40103717,9.0,0.055
13,6.0,0.1110404765,331600.0,20.40103717,5.0,0.055
14,1.5,0.0421541755,927600.0,47.60426336,6.0,0.06
15,6.0,0.093376646,1839600.0,50.9612937,21.0,0.0825
16,6.0,0.1110404765,331600.0,20.40103717,5.0,0.055
17,1.5,0.098996353,108000.0,11.00555881,8.0,0.06
18,2.4,0.097173014,307700.0,15.66438974,21.0,0.065
19,2.4,0.097173014,234900.0,15.66438974,2.0,0.065
20,2.4,0.097173014,307700.0,15.66438974,21.0,0.065
21,2.4,0.097173014,307700.0,15.66438974,21.0,0.065
22,6.0,0.093376646,1509600.0,50.9612937,31.0,0.0825
23,6.0,0.093376646,501000.0,50.9612937,10.0,0.0825
24,6.0,0.10713015449999999,375300.0,50.9612937,4.0,0.0825
25,6.0,0.093376646,860950.0,50.9612937,53.0,0.0825
26,6.0,0.1110404765,371900.0,33.16743954,5.0,0.055
27,6.0,0.113598355,249200.0,33.16743954,5.0,0.055
28,6.0,0.113598355,249200.0,33.16743954,5.0,0.055
29,5.0,0.063331162,725700.0,75.3360558,6.0,0.0
30,1.98,0.0925881905,653000.0,73.48848647,2.0,0.06
31,2.0,0.0645309945,438200.0,6.710881471,15.0,0.101
32,0.8,0.081570418,239800.0,8.720787592,3.0,0.065
33,2.4,0.097173014,307700.0,15.66438974,21.0,0.065
34,6.0,0.083487636,3460000.0,357.4244502,2.0,0.06625
35,4.5,0.081570418,193100.0,75.59630237,8.0,0.07
36,2.4,0.0905584675,171300.0,15.66438974,1.0,0.065
37,2.4,0.0905584675,385900.0,1.539400712,3.0,0.065
38,2.37,0.097173014,1737100.0,44.98349289,2.0,0.07
39,3.0,0.0645309945,895000.0,1.091698699,4.0,0.101
40,4.5,0.081570418,193100.0,75.59630237,8.0,0.07
41,2.4,0.0905584675,645200.0,1.539400712,3.0,0.065
42,4.5,0.104944077,231800.0,9.403317264,3.0,0.07125
43,5.0,0.083487636,241400.0,357.4244502,7.0,0.06625
44,6.0,0.120883663,210500.0,18.95106669,6.0,0.0825
45,4.35,0.0421541755,3969600.0,114.3900277,8.0,0.06
46,2.25,0.0421541755,2779900.0,114.3900277,21.0,0.06
47,6.0,0.113598355,244600.0,33.16743954,5.0,0.055
48,7.92,0.06037186333333333,169300.0,114.3900277,1.0,0.06
49,2.4,0.097173014,307700.0,15.66438974,21.0,0.065
50,2.4,0.097173014,123700.0,15.66438974,4.0,0.075
51,2.4,0.097173014,123700.0,15.66438974,4.0,0.075
52,7.92,0.07318157,286200.0,114.3900277,1.0,0.06
53,7.92,0.07318157,332100.0,132.9584854,2.0,0.06
54,4.5,0.093328167,646500.0,6.710881471,12.0,0.103
55,4.5,0.093328167,646500.0,6.710881471,12.0,0.103
56,5.550000000000001,0.09204539149999999,1040900.0,20.54204472,5.0,0.0625
57,6.959999999999999,0.167368013,108800.0,6.073066365,5.0,0.07
58,2.4,0.089371716,254600.0,1.539400712,6.0,0.065
59,2.4,0.083943921,1018100.0,1.539400712,21.0,0.065
60,2.4,0.097173014,123700.0,15.66438974,4.0,0.075
61,3.0,0.0421541755,2779900.0,114.3900277,21.0,0.06
62,6.0,0.19526342149999998,2513300.0,82.13388047,20.0,0.2275
63,5.9,0.19526342149999998,4584600.0,125.2839303,35.0,0.21875
64,2.9699999999999998,0.0956176098,353600.0,73.70362386,7.0,0.08
65,4.47,0.084777407,263600.0,69.16602715,1.0,0.075
66,2.4,0.0905584675,385900.0,1.539400712,3.0,0.065
67,1.5,0.19526342149999998,668600.0,57.11757781,5.0,0.22
68,2.4,0.083943921,1018100.0,1.539400712,21.0,0.065
69,4.47,0.084777407,102000.0,69.16602715,1.0,0.075
70,2.0,0.10262325,3751200.0,1.091698699,17.0,0.1025
71,3.0,0.19526342149999998,1356300.0,125.2839303,6.0,0.2175
72,6.0,0.10325292224999999,145900.0,17.36271531,5.0,0.07375
73,9.0,0.06795536675,161500.0,15.1839732,2.0,0.053
74,9.8,0.113598355,454000.0,33.16743954,4.0,0.055
75,2.9699999999999998,0.07259745,202900.0,1.091698699,7.0,0.088
76,2.9699999999999998,0.058378199500000005,213250.0,41.82299639,5.0,0.06
77,1.5,0.167368013,98700.0,6.073066365,1.0,0.06
78,2.4,0.097173014,395100.0,15.66438974,11.0,0.065
79,3.3600000000000003,0.19526342149999998,735600.0,17.01596331,8.0,0.2175
80,6.0,0.0870192015,245500.0,50.9612937,14.0,0.0825
81,7.125,0.06538408400000001,307200.0,73.70362386,1.0,0.0825
82,4.0,0.126024825,1549500.0,38.97930673,6.0,0.0625
83,10.0,0.103248065,561500.0,0.756960177,2.0,0.08875
84,6.0,0.093376646,1509600.0,50.9612937,31.0,0.0825
85,3.5599999999999996,0.1625707145,116100.0,6.073066365,11.0,0.06
86,3.0,0.07318157,564600.0,114.3900277,3.0,0.06
87,3.75,0.126024825,7722800.0,38.97930673,28.0,0.0625
88,3.0,0.06538408400000001,501200.0,73.70362386,3.0,0.08
89,3.0,0.186170404,2766950.0,98.41591895,18.0,0.2275
90,3.0,0.06538408400000001,145100.0,73.70362386,1.0,0.09
91,3.0,0.088548971,17153600.0,114.3900277,11.0,0.06
92,4.5,0.081570418,193100.0,75.59630237,8.0,0.07
93,6.0,0.088552342,326500.0,50.9612937,5.0,0.0825
94,2.4000000000000004,0.104944077,656700.0,9.403317264,7.0,0.08025
95,5.699999999999999,0.049467422999999996,378500.0,3.497607948,1.0,0.08375
96,2.25,0.10902480149999999,214900.0,12.29286041,7.0,0.075
97,7.92,0.06538408400000001,1254000.0,73.70362386,6.0,0.1025
98,3.0,0.0800830825,120600.0,3.63622106,1.0,0.0
99,6.0,0.077228413,2608600.0,1.091698699,85.0,0.102
