Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,Converted Cost
0.075319455,192400,11.00555881,3,0.06,9.62
0.075319455,102700,11.00555881,2,0.06,7.5
0.075319455,129100,11.00555881,4,0.06,7.5
0.075319455,60500,11.00555881,2,0.06,7.5
0.095652483,43600,5.487555446,4,0.06,9
0.096954742,44600,2.5848369,2,0.06,6.3
0.096954742,116600,5.487555446,2,0.06,7.5
0.098111203,32100,2.5848369,4,0.06,6
0.098111203,140700,2.5848369,2,0.06,8.13
0.098111203,163000,2.5848369,2,0.06,8.76
0.13933644,24700,1.894763995,1,0.06,12.28
0.10172126,200000,7.21888738,11,0.06,8.76
0.116861707,74100,25.78053272,3,0.055,4
0.116861707,627900,25.78053272,6,0.055,2.5
0.116861707,84800,25.78053272,1,0.055,6
0.113598355,963000,33.16743954,18,0.055,2.5
0.111040477,330800,33.16743954,13,0.055,2.5
0.111040477,371900,33.16743954,5,0.055,2.5
0.111956708,95600,51.50613679,3,0.07875,5
0.103016589,88900,51.50613679,1,0.07875,2.26
0.118173721,55100,5.678995619,2,0.07875,9.5
0.098681149,189900,1.336549197,4,0.075,17.4
0.093136642,203100,1.336549197,3,0.075,17.4
0.101950642,194000,0.439614389,1,0.075,12
0.065384084,452600,73.70362386,3,0.1025,6
0.089768974,304900,73.70362386,2,0.08,6
0.065384084,336800,73.70362386,1,0.09,6
0.065384084,299900,73.70362386,2,0.1,6
0.065384084,6151200,73.70362386,3,0.1025,6
0.079734606,69400,11.03444465,2,0.0785,7.5
0.099915005,45300,11.84768489,4,0.1085,6.24
0.092593207,25000,3.761082855,3,0.090375,6.24
0.094156392,47000,3.761082855,3,0.10475,6.24
0.097379464,56700,2.187763456,3,0.096,6.24
0.078996995,59400,7.312450637,3,0.09475,6.24
0.078996995,16200,5.225648422,3,0.09975,7.5
0.094610158,51800,39.08764145,8,0.096,7.24
0.087868273,89600,1.604917942,7,0.102,7.22
0.097522314,209400,9.419457123,3,0.091,6.24
0.091921443,48900,4.726901204,3,0.08975,6.24
0.094937843,31700,4.426557426,3,0.09475,6.24
0.099285431,179700,39.08764145,4,0.103,4.08
0.119523624,165100,39.08764145,2,0.103,4.36
0.119523624,27700,7.475330177,3,0.0765,5.17
0.100447491,40400,1.727022671,3,0.095,4.04
0.099285431,31500,6.065443806,3,0.086,4.32
0.095443109,105900,15.6364057,2,0.07,4
0.08295205,115100,15.6364057,2,0.075,4
0.093351363,230100,19.61490511,2,0.0725,3
0.093351363,211600,19.61490511,3,0.0725,3
0.076113127,60500,2.57245618,5,0.07,2.1
0.087879133,53500,2.421962081,2,0.055,8
0.102269167,114000,0.919627493,7,0.07,5.1
0.089277329,147200,5.673684388,7,0.08625,6.24
0.071762476,129400,4.860868788,2,0.08625,6.24
0.071762476,80000,4.922478903,2,0.095,7.62
0.093774721,57700,5.221776845,6,0.0825,6
0.085140647,64700,50.9612937,2,0.0825,7.8
0.093376646,1509600,50.9612937,31,0.0825,6.3
0.093376646,714700,50.9612937,21,0.0825,6.3
0.093376646,790100,50.9612937,27,0.0825,6.3
0.085922147,241000,50.9612937,2,0.0825,8.6
0.099560776,620200,5.557113287,4,0.348125,24.5
0.105494482,420600,5.557113287,10,0.3575,8.76
0.105494482,349600,5.557113287,5,0.35,6.24
0.105092691,34300,54.67587764,2,0.359,11.24
0.115335833,271700,21.23559256,2,0.382,12.5
0.110359171,192600,21.23559256,8,0.357,11.24
0.117881858,33100,2.053218507,2,0.345,7.5
0.110585598,65300,0.642460921,6,0.349,7.5
0.108595819,202600,54.67587764,8,0.3565,11.5
0.099560776,626300,3.817319319,7,0.364,12.5
0.132755199,97800,1.4568138,2,0.3553,7.5
0.107717864,184500,4.148823134,4,0.3552,9.24
0.099022919,986600,0.966105849,10,0.364,3.76
0.109909298,453400,3.817319319,4,0.354,3.5
0.099022919,260300,0.966105849,7,0.359,2.76
0.101793962,667300,0.966105849,3,0.364,18.76
0.101793962,176700,0.966105849,6,0.354,5.586666667
0.099022919,1282200,54.67587764,2,0.354,11.24
0.097647832,175100,0.779175977,4,0.3515,8.76
0.073055022,272400,0.110191217,1,0.06,4.76
0.09084176,111000,2.149508338,2,0.06,6.24
0.112465438,40000,0.770554938,1,0.06,12.24
0.08664797,365200,47.8543645,60,0.0725,9.76
0.081112542,459000,11.10630294,35,0.0725,7.5
0.081112542,360200,11.10630294,6,0.0725,8
0.08242339,488400,11.10630294,24,0.0745,7.5
0.081112542,217600,0.215510534,2,0.0885,8.6
0.101005531,83700,0.117055538,10,0.082,10.5
0.123567019,298300,1.380212799,16,0.083125,7.5
0.11380424,307200,1.380212799,16,0.083125,7.5
0.049467423,491300,3.497607948,15,0.08375,9.76
0.188032807,2507600,98.41591895,6,0.2275,8.24
0.114409822,1814500,98.41591895,4,0.2275,7.5
0.138950817,2625900,98.41591895,8,0.2275,14.7
0.114409822,4022400,98.41591895,20,0.2275,14.7
0.114409822,3081800,98.41591895,7,0.2275,14.7
0.114409822,3966600,98.41591895,30,0.2275,14.7
0.137173751,2037700,98.41591895,4,0.2125,6.24
0.137173751,2125000,98.41591895,4,0.22,6.24
0.114409822,1595000,98.41591895,9,0.2275,7.12
0.114409822,1675200,98.41591895,6,0.2275,11.76
0.114409822,1539600,98.41591895,3,0.23,4
0.137173751,2042100,98.41591895,2,0.2125,8.24
0.114409822,1476700,98.41591895,15,0.2275,7.5
0.114409822,6151300,98.41591895,4,0.2125,11.76
0.138950817,2544100,98.41591895,96,0.2275,6
0.114409822,8434900,98.41591895,36,0.2275,6.6
0.114409822,1751400,98.41591895,5,0.2275,7.5
0.138950817,995500,227.182337,15,0.22,5.24
0.138950817,871900,98.41591895,6,0.22,11.12
0.135970026,1304600,98.41591895,7,0.2275,7.5
0.114409822,1143600,98.41591895,12,0.2025,8.76
0.114409822,1572900,98.41591895,2,0.2275,11.76
0.114409822,1222700,98.41591895,7,0.2275,10
0.114409822,994500,98.41591895,11,0.2025,15
0.114409822,934700,98.41591895,3,0.2275,13.76
0.114409822,829000,98.41591895,1,0.2275,11.76
0.138950817,2750600,98.41591895,4,0.2275,11.8
0.180508316,1036800,22.27587347,16,0.2125,11.1
0.180508316,843100,22.27587347,23,0.2125,11.1
0.180508316,446300,22.27587347,14,0.2075,10.8
0.180508316,4789200,22.27587347,84,0.2025,8.76
0.180508316,1279200,22.27587347,25,0.2075,10.8
0.11685727,329500,0.309507108,14,0.2125,9.9
0.114409822,209800,3.366540988,6,0.2025,10.29333333
0.11685727,797800,0.309507108,1,0.2125,7.5
0.133747197,871500,3.366540988,29,0.2175,7.5
0.141885665,337200,3.366540988,3,0.2025,6.24
0.114409822,362300,3.366540988,36,0.2125,8.63
0.114409822,115000,3.366540988,7,0.2125,7.5
0.114409822,278000,3.366540988,16,0.2125,8.24
0.133747197,460400,3.366540988,3,0.2125,7.24
0.133747197,358000,3.366540988,2,0.2125,7.24
0.135852178,348100,3.366540988,6,0.2125,6.76
0.147459069,494500,3.366540988,19,0.2125,6
0.114409822,5064000,98.41591895,16,0.2025,10.24
0.114409822,4635200,98.41591895,14,0.2025,8.76
0.114409822,5406300,98.41591895,211,0.2025,8.823333333
0.114409822,5152300,98.41591895,7,0.2025,10.24
0.114409822,2821800,98.41591895,82,0.2175,6.125
0.114409822,2954300,98.41591895,11,0.2125,7.5
0.114409822,6216900,98.41591895,17,0.2025,7.5
0.114409822,9716400,98.41591895,9,0.2025,10.24
0.114409822,7585800,98.41591895,45,0.2025,10.24
0.180508316,4149400,227.1153202,8,0.2025,6.24
0.180508316,2470700,227.1153202,5,0.2025,5
0.114409822,1855300,98.41591895,13,0.2175,6.24
0.114409822,1798900,98.41591895,5,0.2175,6.24
0.114409822,3724200,98.41591895,3,0.2025,10.24
0.137173751,1746900,98.41591895,5,0.2025,11.76
0.137173751,1734900,98.41591895,7,0.2125,11.76
0.137173751,1916800,98.41591895,32,0.2125,8
0.137173751,1599500,98.41591895,3,0.2125,8.76
0.114409822,2047800,98.41591895,2,0.2125,8.5
0.125722524,354000,98.41591895,2,0.2125,5
0.137173751,2187000,98.41591895,46,0.2175,6.24
0.125722524,791600,98.41591895,8,0.2125,11.12
0.114047668,765500,98.41591895,3,0.2125,5.8
0.114047668,928700,98.41591895,8,0.2125,5.8
0.195263421,177800,33.51163594,6,0.21475,12.38
0.154836621,207500,33.51163594,3,0.1975,12.38
0.154836621,143800,6.087859819,3,0.2075,12.38
0.195263421,328700,4.185525878,4,0.2125,8
0.114409822,42500,1.394808878,7,0.1975,11.12
0.154836621,58400,1.394808878,4,0.1975,11.12
0.195263421,141400,1.460718582,2,0.2125,12.38
0.195263421,266100,17.01596331,4,0.2125,12.38
0.195263421,64700,1.460718582,3,0.2025,12.38
0.195263421,113100,1.460718582,3,0.2085,9.24
0.195263421,376000,1.460718582,14,0.2085,12.38
0.195263421,346800,4.185525878,6,0.2125,13.12666667
0.195263421,1313600,125.2839303,11,0.2175,12.94
0.195263421,1874900,125.2839303,13,0.2175,10
0.195263421,2343800,125.2839303,4,0.2175,12.5
0.178812234,2286900,82.13388047,20,0.22375,5
0.183785529,8268700,125.2839303,339,0.22375,10.24
0.183785529,8854100,125.2839303,22,0.21625,5
0.195263421,3445500,82.13388047,123,0.22375,5
0.195263421,5167500,82.13388047,32,0.22375,14
0.195263421,1890500,82.13388047,5,0.2125,15.76
0.195263421,1728300,82.13388047,19,0.2325,7
0.195263421,2513300,82.13388047,20,0.2275,6.24
0.195263421,1650100,82.13388047,17,0.2125,6
0.195263421,1211600,57.11757781,16,0.22,5
0.195263421,4584600,125.2839303,35,0.21875,6.24
0.195263421,1107300,125.2839303,20,0.21625,14.62
0.195263421,735600,17.01596331,8,0.2175,13.12666667
0.195263421,2010200,125.2839303,15,0.2225,5.5
0.183785529,3726700,125.2839303,4,0.21875,8.76
0.195263421,4145300,125.2839303,4,0.21875,5.01
0.177942714,605100,8.439481531,8,0.215,10.72666667
0.177718716,272400,8.439481531,3,0.2075,12.38
0.195263421,730100,2.242794509,10,0.2175,12.38
0.195263421,722800,82.13388047,2,0.21,12.5
0.195263421,301500,2.242794509,11,0.21375,9.9
0.195263421,439500,0.554199683,13,0.21,12.38
0.195263421,238300,3.606238302,16,0.1975,8.5
0.17875461,721100,3.606238302,41,0.2025,9.9
0.195263421,552300,82.13388047,3,0.20625,12.38
0.17875461,527800,13.2341449,8,0.2125,14.24
0.195263421,83500,3.606238302,3,0.1975,12.38
0.178916986,451200,21.08842976,3,0.2,12.38
0.145736987,333800,3.606238302,5,0.2125,8.76
0.175577736,88300,0.323504697,2,0.1975,12.38
0.136206366,40100,5.762458356,4,0.2025,6.24
0.178916986,600800,21.08842976,8,0.2125,9.9
0.178916986,497000,21.08842976,7,0.2075,20.64
0.063331162,1821400,75.3360558,3,0,8
0.073171465,110500,2.798756518,5,0,7.65
